City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Chokurdakh,RU,70.63,147.92,54.0,52,55,8.21,broken clouds
Freetown,SL,8.48,-13.23,77.23,86,100,6.73,light rain
Leningradskiy,RU,69.38,178.42,34.93,93,100,14.92,overcast clouds
Bredasdorp,ZA,-34.53,20.04,40.32,93,0,3.44,clear sky
Ponta Delgada,PT,37.73,-25.67,72.32,88,20,13.8,few clouds
Ushuaia,AR,-54.80,-68.30,38.86,65,40,31.07,scattered clouds
Dakar,SN,14.69,-17.44,82.53,78,75,6.91,broken clouds
La Libertad,EC,-2.23,-80.90,73.06,78,75,10.36,broken clouds
Kahului,US,20.89,-156.47,85.96,76,40,20.71,scattered clouds
Tuktoyaktuk,CA,69.45,-133.04,51.8,66,75,11.5,broken clouds
Esperance,AU,-33.87,121.90,40.84,80,76,17.94,broken clouds
Jamestown,US,42.10,-79.24,80.19,82,90,5.99,overcast clouds
Nikolskoye,RU,59.70,30.79,60.03,88,30,1.74,scattered clouds
Davidson,US,36.15,-86.78,96.03,50,40,5.99,scattered clouds
Namyslow,PL,51.08,17.72,60.51,92,21,3.15,few clouds
Cayenne,GF,4.93,-52.33,75.24,91,75,1.14,light rain
New Norfolk,AU,-42.78,147.06,55.92,72,100,3.0,overcast clouds
Hobart,AU,-42.88,147.33,56.26,67,75,7.0,broken clouds
Rikitea,PF,-23.12,-134.97,70.56,66,23,14.0,few clouds
Barrow,US,71.29,-156.79,37.42,83,90,9.22,light rain
Puerto Ayora,EC,-0.74,-90.35,73.36,93,85,7.0,overcast clouds
Flinders,AU,-34.58,150.86,58.05,66,0,9.48,clear sky
Bluff,NZ,-46.60,168.33,43.81,85,17,11.23,few clouds
Mahebourg,MU,-20.41,57.70,68.29,100,75,3.44,light rain
Khatanga,RU,71.97,102.50,50.63,85,91,14.88,overcast clouds
Port Elizabeth,ZA,-33.92,25.57,53.89,87,40,8.05,scattered clouds
Georgetown,MY,5.41,100.34,80.89,85,40,3.44,scattered clouds
Haines Junction,CA,60.75,-137.51,64.35,42,91,5.75,overcast clouds
Bethel,US,41.37,-73.41,81.7,84,73,7.25,broken clouds
Asfi,MA,32.30,-9.24,68.18,89,20,3.24,few clouds
Vanimo,PG,-2.67,141.30,77.25,86,95,3.85,overcast clouds
Wanning,CN,18.80,110.40,81.81,90,100,8.57,overcast clouds
Chuy,UY,-33.70,-53.46,46.11,83,55,8.55,broken clouds
Evensk,RU,61.95,159.23,58.15,71,70,4.12,broken clouds
Mataura,NZ,-46.19,168.86,43.48,94,27,3.4,scattered clouds
Faanui,PF,-16.48,-151.75,79.16,72,36,14.9,scattered clouds
Albany,US,42.60,-73.97,84.15,72,71,1.01,broken clouds
Yumen,CN,40.28,97.20,65.12,48,77,3.98,broken clouds
Alekseyevka,RU,50.63,38.69,76.17,40,99,9.98,moderate rain
Saint-Leu,RE,-21.15,55.28,67.06,84,13,9.06,few clouds
Mar Del Plata,AR,-38.00,-57.56,48.22,53,0,4.61,clear sky
Pishva,IR,35.31,51.73,87.01,20,6,4.27,clear sky
Anchorage,US,61.22,-149.90,57.97,87,90,5.75,moderate rain
Hobyo,SO,5.35,48.53,76.66,77,68,22.91,broken clouds
Trollhattan,SE,58.23,12.42,58.48,96,90,3.0,overcast clouds
Hermanus,ZA,-34.42,19.23,49.89,71,0,3.53,clear sky
Lososina,RU,49.00,140.31,58.75,60,0,4.18,clear sky
Cape Town,ZA,-33.93,18.42,50.11,93,0,4.61,clear sky
Asau,RO,46.43,26.40,65.32,85,4,3.76,light rain
Pevek,RU,69.70,170.31,37.08,85,76,10.96,broken clouds
Kargil,IN,34.57,76.10,58.08,52,85,3.56,overcast clouds
East London,ZA,-33.02,27.91,56.34,68,0,12.59,clear sky
Abaza,RU,52.66,90.09,56.88,96,90,2.28,overcast clouds
Tarata,BO,-17.62,-66.02,74.62,47,38,8.1,scattered clouds
Lebu,CL,-37.62,-73.65,47.7,75,0,19.69,clear sky
Punta Arenas,CL,-53.15,-70.92,39.31,70,40,11.5,scattered clouds
Puyang,CN,29.46,119.89,77.31,97,100,1.92,overcast clouds
Muravlenko,RU,63.79,74.52,47.77,81,16,10.69,few clouds
Hambantota,LK,6.12,81.12,79.14,94,20,10.36,few clouds
Paramonga,PE,-10.67,-77.83,64.65,77,10,12.28,clear sky
Rethimnon,GR,35.36,24.47,87.85,43,0,1.52,clear sky
Atar,MR,20.52,-13.05,90.84,16,5,10.92,clear sky
Chara,RU,56.91,118.26,59.47,83,98,0.04,overcast clouds
Pinawa,CA,50.15,-95.88,74.64,44,97,12.33,overcast clouds
Palmer,US,42.16,-72.33,79.77,74,75,3.0,broken clouds
Hilo,US,19.73,-155.09,84.25,85,90,6.91,overcast clouds
Qaanaaq,GL,77.48,-69.36,44.65,58,100,7.99,overcast clouds
Saint-Joseph,RE,-21.37,55.62,66.58,84,30,5.82,scattered clouds
Bubaque,GW,11.28,-15.83,80.46,78,100,10.74,overcast clouds
Vaini,TO,-21.20,-175.20,69.96,78,75,11.5,broken clouds
Hasaki,JP,35.73,140.83,75.6,81,88,8.7,overcast clouds
Singkang,MY,2.10,102.80,78.69,93,98,2.64,overcast clouds
Salinas,US,36.68,-121.66,95.22,55,1,13.8,clear sky
Sarahan,IN,31.52,77.80,60.58,90,20,0.92,few clouds
Ardesen,TR,41.19,40.99,71.56,85,100,6.35,overcast clouds
Springfield,US,37.22,-93.30,95.9,56,1,7.0,clear sky
Daur,PK,26.46,68.32,84.11,63,39,9.53,scattered clouds
Fort-Shevchenko,KZ,44.51,50.26,88.07,35,8,6.33,clear sky
Yellowknife,CA,62.46,-114.35,57.72,58,90,12.66,overcast clouds
Kruisfontein,ZA,-34.00,24.73,49.28,49,0,6.26,clear sky
West Norriton,US,40.13,-75.38,93.31,62,90,1.99,overcast clouds
Luderitz,NA,-26.65,15.16,61.86,53,29,1.61,scattered clouds
Tabou,CI,4.42,-7.35,76.5,83,22,9.86,few clouds
Victoria,HK,22.29,114.16,85.32,86,100,4.83,light rain
San Jeronimo,PE,-11.95,-75.28,60.76,38,12,7.85,few clouds
Champerico,GT,14.30,-91.92,89.73,73,47,10.13,scattered clouds
Plainview,US,40.78,-73.47,85.73,83,90,1.01,overcast clouds
Curup,ID,-3.47,102.53,67.01,98,100,2.91,overcast clouds
Harindanga,IN,22.04,88.32,85.98,81,100,8.01,overcast clouds
Iqaluit,CA,63.75,-68.51,47.93,71,75,12.66,light rain
Hithadhoo,MV,-0.60,73.08,80.37,72,100,3.18,overcast clouds
Kabare,CD,-2.47,28.82,62.74,88,96,1.5,light rain
Humberto De Campos,BR,-2.60,-43.46,77.74,85,18,5.3,few clouds
Amboasary,MG,-25.03,46.38,62.44,79,0,5.79,clear sky
Khandyga,RU,62.67,135.60,67.6,52,88,2.82,overcast clouds
Moree,AU,-29.47,149.85,55.42,76,90,12.66,overcast clouds
The Valley,AI,18.22,-63.06,83.1,83,40,18.41,scattered clouds
Esna,EG,25.29,32.55,89.42,24,1,8.16,clear sky
Ilulissat,GL,69.22,-51.10,55.42,44,40,5.75,light intensity drizzle
Gornopravdinsk,RU,60.05,69.90,54.43,79,100,9.53,overcast clouds
Grindavik,IS,63.84,-22.43,57.15,94,0,5.75,clear sky
Caxito,AO,-8.58,13.66,74.05,91,22,1.52,few clouds
Geraldton,AU,-28.77,114.60,48.61,87,75,8.05,broken clouds
Gouyave,GD,12.16,-61.73,84.97,74,20,16.11,few clouds
Pozo Colorado,PY,-23.49,-58.80,55.9,69,100,8.12,overcast clouds
Ponta Do Sol,PT,32.67,-17.10,72.23,80,65,2.84,broken clouds
Sioux Lookout,CA,50.10,-91.92,75.58,49,40,13.8,scattered clouds
Thompson,CA,55.74,-97.86,66.36,72,75,9.22,broken clouds
Ternate,ID,0.80,127.40,78.82,81,16,3.71,few clouds
Alta Floresta,BR,-9.88,-56.09,83.61,26,2,1.86,clear sky
Cidreira,BR,-30.18,-50.21,56.07,91,100,11.7,overcast clouds
Nouadhibou,MR,20.93,-17.03,71.58,73,0,19.57,clear sky
Shawville,CA,45.60,-76.48,85.68,70,76,9.17,broken clouds
Manjeshwar,IN,12.72,74.89,77.95,89,86,4.32,overcast clouds
Itarema,BR,-2.92,-39.92,79.39,81,0,17.54,clear sky
Tuatapere,NZ,-46.13,167.68,44.82,91,46,6.73,scattered clouds
Peranamallur,IN,12.57,79.43,84.97,60,99,6.64,overcast clouds
Castro,BR,-24.79,-50.01,62.78,57,70,3.15,broken clouds
Altus,US,34.64,-99.33,100.96,35,1,4.0,clear sky
Bambanglipuro,ID,-7.95,110.28,74.26,81,60,11.65,broken clouds
Port Alfred,ZA,-33.59,26.89,55.76,73,0,12.33,clear sky
Marawi,PH,8.00,124.29,65.64,92,92,3.09,overcast clouds
Bambous Virieux,MU,-20.34,57.76,68.25,100,75,3.44,light rain
Kapaa,US,22.08,-159.32,84.52,70,20,1.01,few clouds
Rezh,RU,57.37,61.40,50.67,88,67,5.7,broken clouds
Toamasina,MG,-18.17,49.38,64.4,94,40,2.3,scattered clouds
Chernyshevskiy,RU,63.01,112.47,59.09,70,99,1.66,overcast clouds
Varhaug,NO,58.61,5.65,58.78,85,16,3.36,few clouds
Roald,NO,62.58,6.13,61.9,94,90,2.3,overcast clouds
Katherine,AU,-14.47,132.27,68.32,73,63,3.44,broken clouds
Innisfail,AU,-17.53,146.03,67.82,90,90,4.63,overcast clouds
Shibetsu,JP,43.66,145.13,56.01,92,100,16.69,light rain
Omboue,GA,-1.57,9.26,75.52,81,14,8.14,few clouds
Rohtak,IN,28.90,76.57,82.49,59,8,5.59,clear sky
Coffs Harbour,AU,-30.30,153.13,55.36,82,0,4.61,clear sky
Los Llanos De Aridane,ES,28.66,-17.92,69.55,96,0,4.61,clear sky
Airai,TL,-8.93,125.41,56.37,84,69,3.06,broken clouds
Porto Novo,BJ,6.50,2.60,76.82,88,71,7.16,broken clouds
Suicheng,CN,33.90,117.93,72.88,96,86,5.95,light rain
Norman Wells,CA,65.28,-126.83,55.44,76,90,11.5,light rain
Paris,FR,48.85,2.35,70.3,77,90,6.91,overcast clouds
Klaksvik,FO,62.23,-6.59,49.12,87,99,4.03,overcast clouds
Kawalu,ID,-7.38,108.21,69.33,96,66,0.87,broken clouds
Gariaband,IN,20.64,82.06,74.79,93,100,4.5,overcast clouds
Shimanovsk,RU,52.00,127.70,59.56,77,100,3.71,overcast clouds
Vila Franca Do Campo,PT,37.72,-25.43,72.01,89,11,5.28,few clouds
Rawah,IQ,34.48,41.91,90.09,23,0,5.86,clear sky
Port-Cartier,CA,50.03,-66.87,64.62,87,100,4.74,overcast clouds
Ancud,CL,-41.87,-73.82,51.42,83,82,2.62,broken clouds
Axim,GH,4.87,-2.24,76.3,87,3,6.4,clear sky
Franklin,US,39.97,-83.02,87.44,72,75,1.01,broken clouds
Eenhana,NA,-17.47,16.33,65.95,21,0,7.27,clear sky
Cabra,ES,37.47,-4.44,87.91,58,54,1.01,broken clouds
Jackson,US,42.42,-122.83,95.18,22,90,3.44,smoke
Panchgani,IN,17.92,73.82,63.12,96,99,4.52,overcast clouds
Pedras De Fogo,BR,-7.40,-35.12,74.03,94,41,6.55,scattered clouds
Karnal,IN,29.68,76.98,83.41,70,9,5.59,clear sky
Porto Walter,BR,-8.27,-72.74,88.25,43,78,2.46,broken clouds
Taoudenni,ML,22.68,-3.98,100.04,21,9,8.63,clear sky
San Cristobal,VE,7.77,-72.22,80.78,64,87,5.19,overcast clouds
Katsuura,JP,35.13,140.30,82.51,80,58,7.34,broken clouds
Mayo,US,38.89,-76.51,93.47,75,1,7.0,clear sky
San Patricio,US,28.02,-97.52,95.09,48,0,17.78,clear sky
Codrington,AU,-38.27,141.97,48.94,81,100,15.79,light rain
Rylsk,RU,51.57,34.68,72.0,52,100,10.42,light rain
Ferkessedougou,CI,9.60,-5.20,73.22,93,79,2.84,moderate rain
Alofi,NU,-19.06,-169.92,75.09,83,75,12.66,broken clouds
Candelaria,PH,13.93,121.42,75.76,93,100,0.83,overcast clouds
Waddan,LY,29.16,16.14,85.78,34,0,10.8,clear sky
Cabo San Lucas,MX,22.89,-109.91,84.06,84,90,3.0,overcast clouds
Muisne,EC,0.60,-80.03,80.71,82,99,12.41,overcast clouds
Busselton,AU,-33.65,115.33,43.09,74,100,11.72,overcast clouds
Road Town,VG,18.42,-64.62,81.19,89,40,14.97,scattered clouds
Nelson Bay,AU,-32.72,152.15,53.11,83,0,7.7,clear sky
Mangai,CD,-4.05,19.53,82.06,36,62,1.16,broken clouds
Barguzin,RU,53.62,109.62,57.56,90,84,4.83,broken clouds
Kapit,MY,2.02,112.93,72.48,99,98,0.6,overcast clouds
Avera,US,33.19,-82.53,92.71,51,100,4.88,light rain
Toora-Khem,RU,52.47,96.11,53.33,92,97,0.96,overcast clouds
Ribeira Grande,PT,38.52,-28.70,72.9,86,17,9.28,few clouds
Lagoa,PT,39.05,-27.98,71.96,87,4,14.67,clear sky
Ulladulla,AU,-35.35,150.47,59.88,57,0,8.5,clear sky
Pirmasens,DE,49.20,7.61,64.8,90,75,1.1,broken clouds
Butaritari,KI,3.07,172.79,83.84,63,20,13.69,few clouds
Jieshi,CN,22.81,115.83,81.28,88,100,4.38,overcast clouds
Kodiak,US,57.79,-152.41,65.71,45,1,9.22,clear sky
Kaeo,NZ,-35.10,173.78,54.32,89,35,4.74,scattered clouds
Mehamn,NO,71.04,27.85,57.11,90,100,5.86,overcast clouds
Maria Chiquita,PA,9.44,-79.76,84.16,80,81,5.97,broken clouds
Katangli,RU,51.71,143.23,57.63,80,1,8.12,clear sky
Pokhara,NP,28.23,83.98,72.9,94,100,3.09,overcast clouds
Beaverlodge,CA,55.22,-119.44,65.55,47,98,21.03,overcast clouds
Dezful,IR,32.38,48.41,94.48,15,0,2.86,clear sky
Frontera,MX,26.93,-101.45,96.6,29,90,9.04,overcast clouds
Ahipara,NZ,-35.17,173.17,56.46,74,40,8.86,scattered clouds
Hibbing,US,47.43,-92.94,82.85,34,20,10.36,few clouds
Samarai,PG,-10.62,150.67,78.21,86,43,17.05,scattered clouds
Souillac,MU,-20.52,57.52,68.38,100,75,3.44,light rain
Maceio,BR,-9.67,-35.74,76.44,83,75,8.05,broken clouds
Tarakan,ID,3.30,117.63,78.3,89,20,3.44,few clouds
Guerrero Negro,MX,27.98,-114.06,85.01,48,5,12.15,clear sky
Saskylakh,RU,71.92,114.08,56.52,80,79,4.5,broken clouds
Sabha,LY,27.04,14.43,90.81,19,0,16.24,clear sky
Roros,NO,62.57,11.38,53.44,94,90,3.44,overcast clouds
Zhoucheng,CN,35.91,116.31,74.41,92,26,1.66,scattered clouds
Richards Bay,ZA,-28.78,32.04,56.23,87,18,4.79,few clouds
Grand Forks,US,47.94,-97.43,83.93,32,20,11.5,few clouds
Plastun,RU,44.76,136.29,55.54,92,100,5.93,overcast clouds
Avarua,CK,-21.21,-159.78,78.85,78,3,6.91,clear sky
Rio Gallegos,AR,-51.62,-69.22,42.85,45,40,18.41,scattered clouds
Shingu,JP,33.73,135.98,79.92,76,100,3.65,light rain
Sola,VU,-13.88,167.55,77.67,83,75,8.05,broken clouds
Fortuna,US,40.60,-124.16,91.42,67,1,1.99,clear sky
Sakaiminato,JP,35.55,133.23,71.58,94,75,3.44,broken clouds
Machali,CL,-34.18,-70.67,63.68,29,0,8.05,haze
Torbay,CA,47.67,-52.73,66.97,67,75,11.5,broken clouds
Chapleau,CA,47.84,-83.40,77.09,73,75,8.05,broken clouds
Provideniya,RU,64.38,-173.30,48.31,66,90,6.71,overcast clouds
Dikson,RU,73.51,80.55,40.08,94,100,18.9,overcast clouds
Mozarlandia,BR,-14.74,-50.57,82.96,26,79,1.41,broken clouds
Goderich,CA,43.75,-81.72,81.91,83,49,12.66,scattered clouds
Belmonte,BR,-15.86,-38.88,73.9,82,23,8.97,few clouds
Gazanjyk,TM,39.24,55.52,87.4,16,0,9.44,clear sky
Sangmelima,CM,2.93,11.98,70.16,89,99,5.12,overcast clouds
Bulawayo,ZW,-20.15,28.58,51.82,76,36,13.31,scattered clouds
Moindou,NC,-21.69,165.68,67.95,54,2,6.15,clear sky
Isangel,VU,-19.55,169.27,68.11,77,75,4.61,broken clouds
Bonavista,CA,48.65,-53.11,71.6,70,32,15.61,scattered clouds
Jamui,IN,24.92,86.22,82.62,86,100,4.63,overcast clouds
Mahina,PF,-17.51,-149.49,80.37,74,75,5.75,light rain
Kirakira,SB,-10.45,161.92,80.73,82,33,13.82,scattered clouds
Walvis Bay,NA,-22.96,14.51,59.09,88,92,13.8,overcast clouds
Snezhnogorsk,RU,69.19,33.25,58.78,89,99,7.63,overcast clouds
Tukrah,LY,32.53,20.58,80.02,83,0,7.58,clear sky
Gazojak,TM,41.19,61.40,79.34,28,0,9.71,clear sky
Saint-Pierre,RE,-21.34,55.48,67.68,88,90,8.05,light rain
Niquelandia,BR,-14.47,-48.46,77.68,31,38,2.3,scattered clouds
Lisakovsk,KZ,52.54,62.49,55.58,90,60,8.75,broken clouds
Severodvinsk,RU,64.56,39.83,64.51,97,60,7.18,light rain
Gat,IL,31.61,34.76,81.39,75,0,2.86,clear sky
Isilkul,RU,54.91,71.27,54.46,98,80,10.31,broken clouds
Noumea,NC,-22.28,166.46,67.98,72,77,14.65,broken clouds
Neiafu,TO,-18.65,-173.98,75.88,83,75,13.8,light rain
Tiznit,MA,29.58,-9.50,62.83,81,84,3.91,broken clouds
Nalut,LY,30.33,10.85,89.62,16,0,13.51,clear sky
Lorengau,PG,-2.02,147.27,81.07,79,100,2.98,overcast clouds
Tasiilaq,GL,65.61,-37.64,51.96,95,100,7.25,overcast clouds
Yabelo,ET,4.88,38.08,64.26,59,94,7.72,overcast clouds
Dudinka,RU,69.41,86.18,45.05,80,100,7.11,overcast clouds
San Quintin,MX,30.48,-115.95,76.64,66,1,12.26,clear sky
Upernavik,GL,72.79,-56.15,45.61,77,100,1.97,overcast clouds
Lasa,IT,46.62,10.70,63.63,83,18,3.04,few clouds
Paamiut,GL,61.99,-49.67,44.98,76,100,4.07,overcast clouds
Ocos,GT,14.51,-92.19,91.9,71,27,9.01,scattered clouds
Port Lincoln,AU,-34.73,135.87,55.56,79,100,20.56,light rain
Saint-Philippe,RE,-21.36,55.77,67.59,83,27,7.58,scattered clouds
Hofn,IS,64.25,-15.21,50.86,87,59,7.4,broken clouds
Yarmouth,US,41.71,-70.23,78.12,86,40,3.0,scattered clouds
Hovd,MN,48.01,91.64,65.88,42,100,7.54,overcast clouds
Broken Hill,AU,-31.95,141.43,62.31,22,0,16.11,clear sky
Oussouye,SN,12.48,-16.55,82.58,81,93,6.33,overcast clouds
Otjimbingwe,NA,-22.35,16.13,63.52,26,30,2.39,scattered clouds
Soubre,CI,5.79,-6.61,72.72,97,91,2.95,light rain
Russell,US,32.35,-85.20,85.28,43,92,4.05,overcast clouds
San Andres,CO,12.58,-81.70,87.82,70,40,13.8,scattered clouds
Paine,CL,-33.82,-70.75,69.3,41,0,2.77,clear sky
Namibe,AO,-15.20,12.15,68.32,84,80,6.06,broken clouds
Qingdao,CN,36.10,120.37,73.0,100,38,2.24,mist
Arraial Do Cabo,BR,-22.97,-42.03,71.56,83,0,8.05,clear sky
Nigran,ES,42.14,-8.81,75.4,83,0,8.05,clear sky
Puerto Baquerizo Moreno,EC,-0.90,-89.60,74.39,69,75,13.8,broken clouds
Tonj,SS,7.27,28.68,70.83,95,100,2.86,overcast clouds
Atuona,PF,-9.80,-139.03,77.88,69,17,21.03,few clouds
Pangody,RU,65.85,74.49,45.05,87,6,8.25,clear sky
Shimoda,JP,34.67,138.95,80.01,75,62,7.23,broken clouds
Guatire,VE,10.48,-66.54,77.2,96,85,0.54,overcast clouds
Dingle,PH,11.00,122.67,73.89,88,100,0.87,overcast clouds
Touros,BR,-5.20,-35.46,77.9,81,10,14.36,clear sky
Port Hedland,AU,-20.32,118.57,68.05,42,0,14.97,clear sky
Luena,AO,-11.78,19.92,58.75,28,0,3.69,clear sky
Bathsheba,BB,13.22,-59.52,83.01,78,20,6.91,few clouds
Fukue,JP,32.69,128.84,75.18,86,100,4.56,heavy intensity rain
Toyooka,JP,35.53,134.83,71.71,81,87,1.79,overcast clouds
Cairns,AU,-16.92,145.77,71.55,86,30,11.5,scattered clouds
Labytnangi,RU,66.66,66.42,50.25,83,77,2.86,broken clouds
Calca,PE,-13.33,-71.95,63.75,49,18,8.59,few clouds
Talcahuano,CL,-36.72,-73.12,55.08,67,0,11.5,clear sky
Minab,IR,27.15,57.08,90.9,73,17,1.28,few clouds
Faya,SA,18.39,42.45,70.32,60,53,2.53,broken clouds
Tessalit,ML,20.20,1.01,86.61,43,77,7.34,broken clouds
Zhigansk,RU,66.77,123.37,60.93,84,90,5.46,overcast clouds
Havoysund,NO,71.00,24.66,63.48,83,100,8.16,overcast clouds
Saint George,US,37.10,-113.58,104.47,18,1,7.0,clear sky
Shache,CN,38.42,77.24,77.49,21,13,7.78,few clouds
Mega,ET,4.05,38.30,62.62,63,30,10.11,scattered clouds
Okitipupa,NG,6.50,4.78,73.15,96,99,2.77,overcast clouds
Zimovniki,RU,47.15,42.46,77.09,58,98,3.44,moderate rain
Brae,GB,60.40,-1.35,53.51,95,100,8.99,overcast clouds
Cherdakly,RU,54.36,48.84,69.75,78,26,8.95,scattered clouds
Manaure,CO,11.78,-72.44,88.83,57,96,14.14,overcast clouds
Labuhan,ID,-6.88,112.21,74.12,82,73,8.77,broken clouds
Gayeri,BF,12.65,0.49,80.98,69,100,7.25,overcast clouds
Saldanha,ZA,-33.01,17.94,46.45,73,0,11.23,clear sky
Vagay,RU,57.94,69.02,55.33,96,100,9.95,light rain
Nueve De Julio,AR,-35.44,-60.88,43.77,55,0,2.24,clear sky
Trinidad,BO,-14.83,-64.90,84.18,45,14,6.91,few clouds
Bonthe,SL,7.53,-12.51,78.13,83,100,7.16,overcast clouds
Tadine,NC,-21.55,167.88,68.65,61,94,19.8,overcast clouds
Marsh Harbour,BS,26.54,-77.06,84.18,69,2,11.81,clear sky
Balta,UA,47.94,29.62,66.85,65,4,9.01,clear sky
Carutapera,BR,-1.20,-46.02,77.38,85,47,6.02,light rain
Namatanai,PG,-3.67,152.43,81.64,72,14,6.08,few clouds
Vardo,NO,70.37,31.11,58.75,96,99,6.85,overcast clouds
Takoradi,GH,4.88,-1.76,75.81,87,3,7.18,clear sky
Santana Do Livramento,BR,-30.89,-55.53,49.39,85,99,7.99,overcast clouds
Nanortalik,GL,60.14,-45.24,47.77,62,66,5.64,broken clouds
Biak,ID,-0.91,122.88,75.04,86,75,6.06,broken clouds
Sosnovo-Ozerskoye,RU,52.52,111.54,55.22,94,100,4.83,overcast clouds
Elizabeth City,US,36.29,-76.25,93.02,69,1,5.75,clear sky
Cacahuatepec,MX,16.89,-99.61,82.18,87,31,5.66,scattered clouds
Boden,SE,65.83,21.69,60.8,97,28,3.38,scattered clouds
Ornskoldsvik,SE,63.29,18.72,58.82,100,75,2.3,broken clouds
Carnarvon,AU,-24.87,113.63,46.47,61,0,8.05,clear sky
Hami,CN,42.80,93.45,81.93,26,78,9.71,broken clouds
Assiniboia,CA,49.63,-105.98,60.71,88,100,11.5,overcast clouds
Yulara,AU,-25.24,130.99,60.64,44,90,10.36,overcast clouds
Pacific Grove,US,36.62,-121.92,94.8,72,1,5.99,clear sky
Caravelas,BR,-17.71,-39.25,68.95,84,9,5.41,clear sky
San Benito,US,36.62,-121.08,89.13,14,0,6.29,clear sky
Kwinana,AU,-32.25,115.77,44.94,66,99,13.11,overcast clouds
Tiksi,RU,71.69,128.87,64.58,62,99,13.51,overcast clouds
Omsukchan,RU,62.53,155.80,64.17,47,78,2.82,broken clouds
Suisun City,US,38.24,-122.04,106.45,20,1,0.0,clear sky
Ilebo,CD,-4.32,20.58,77.2,52,45,0.76,scattered clouds
Mangrol,IN,21.12,70.12,81.54,76,98,13.96,overcast clouds
Birao,CF,10.28,22.79,71.22,96,100,5.26,light rain
Wajima,JP,37.40,136.90,76.78,79,13,5.12,few clouds
Kalmunai,LK,7.42,81.82,80.08,77,99,3.31,overcast clouds
Rognan,NO,67.10,15.39,55.76,94,100,4.21,overcast clouds
Oktyabrskiy,RU,54.48,53.47,57.83,93,1,5.64,clear sky
Meadow Lake,US,34.80,-106.54,92.17,32,100,7.96,overcast clouds
Cap Malheureux,MU,-19.98,57.61,68.49,91,38,1.99,moderate rain
Kaitangata,NZ,-46.28,169.85,46.2,84,16,6.89,few clouds
Sitka,US,57.05,-135.33,58.89,77,90,13.8,mist
Saint-Augustin,CA,51.23,-58.65,69.4,77,100,14.03,overcast clouds
Gandu,BR,-13.74,-39.49,64.27,96,75,2.13,broken clouds
Rabo De Peixe,PT,37.80,-25.58,71.11,88,20,13.8,few clouds
Jonuta,MX,18.08,-92.13,92.25,32,87,5.77,overcast clouds
Chegdomyn,RU,51.12,133.02,53.64,75,42,0.87,scattered clouds
Camacha,PT,33.08,-16.33,69.22,83,40,10.36,scattered clouds
